customer_id,first_name,last_name,dob,email,city,account_type,created_at
CUST1000,Jane,Smith,1999-11-08,user0@example.com,Lalitpur,Current,2025-08-24 13:46:57
CUST1001,John,Khan,1975-12-23,user1@example.com,Kathmandu,Current,2024-11-04 18:34:26
CUST1002,Rahul,Patel,1992-07-09,user2@example.com,Biratnagar,Savings,2023-10-29 11:33:55
CUST1003,Priya,Thapa,1993-01-06,user3@example.com,Birgunj,Current,2022-12-29 17:34:31
CUST1004,Priya,Tamang,2005-10-13,user4@example.com,Birgunj,Current,2023-04-22 11:27:44
CUST1005,Amit,Tamang,1966-11-10,user5@example.com,Biratnagar,Savings,2022-12-17 01:33:23
CUST1006,Jane,Gurung,1960-08-24,user6@example.com,Kathmandu,Savings,2023-06-09 01:48:38
CUST1007,Bishal,Patel,1964-02-26,user7@example.com,Pokhara,Savings,2024-11-17 22:39:39
CUST1008,Jane,Thapa,1978-02-08,user8@example.com,Dharan,Savings,2024-06-30 11:58:27
CUST1009,Nina,Joshi,1960-06-28,user9@example.com,Pokhara,Savings,2025-05-10 14:22:30
CUST1010,David,Thapa,2005-04-10,user10@example.com,Pokhara,Savings,2023-03-23 14:47:05
CUST1011,John,Tamang,1999-08-20,user11@example.com,Butwal,Savings,2024-02-17 09:51:34
CUST1012,John,Patel,1962-11-06,user12@example.com,Kathmandu,Current,2025-09-20 09:10:11
CUST1013,Jane,Rai,1966-08-04,user13@example.com,Pokhara,Savings,2025-09-04 04:15:27
CUST1014,Priya,Patel,1974-05-13,user14@example.com,Butwal,Savings,2024-02-20 21:38:57
CUST1015,Priya,Gurung,1995-07-18,user15@example.com,Pokhara,Savings,2025-06-06 12:43:40
CUST1016,Bishal,Gurung,1960-06-29,user16@example.com,Pokhara,Savings,2022-10-05 17:01:56
CUST1017,Nina,Wilson,1985-07-25,user17@example.com,Birgunj,Current,2025-01-29 17:15:36
CUST1018,John,Khan,2001-01-12,user18@example.com,Lalitpur,Savings,2022-04-11 14:54:28
CUST1019,Bishal,Joshi,1995-05-23,user19@example.com,Dharan,Current,2024-03-31 14:01:53
CUST1020,Priya,Gurung,1978-02-02,user20@example.com,Kathmandu,Current,2024-03-13 20:20:29
CUST1021,Bishal,Gurung,1993-01-24,user21@example.com,Kathmandu,Savings,2023-03-07 15:47:17
CUST1022,David,Wilson,1992-03-15,user22@example.com,Butwal,Savings,2024-06-30 09:15:26
CUST1023,Priya,Tamang,1982-12-07,user23@example.com,Dharan,Savings,2025-05-29 21:16:01
CUST1024,Sita,Tamang,2001-02-15,user24@example.com,Pokhara,Current,2023-10-15 02:21:46
CUST1025,Nina,Thapa,1989-03-23,user25@example.com,Dharan,Current,2024-04-13 22:51:31
CUST1026,Rahul,Joshi,1982-11-26,user26@example.com,Birgunj,Current,2022-02-06 00:55:30
